Date,Energy,PM25,PM10,NO2,maxT,minT
2020-02-07,9145,104,70,10,87,64
2020-02-08,10430,124,65,11,89,66
2020-02-09,9704,110,60,9,89,65
2020-02-10,10699,100,58,12,86,66
2020-02-11,11774,88,57,15,87,62
2020-02-12,9774,86,57,16,86,63
2020-02-13,11828,85,60,17,90,65
2020-02-14,10718,91,71,16,90,64
2020-02-15,11099,109,62,21,92,64
2020-02-16,11555,65,68,28,91,64
2020-02-17,11809,97,68,21,90,63
2020-02-18,11707,104,70,27,91,63
2020-02-19,10544,109,69,13,89,64
2020-02-20,11693,121,72,2,91,62
2020-02-21,11722,115,56,1,90,62
2020-02-22,11210,78,64,1,89,65
2020-02-23,8342,92,61,1,88,64
2020-02-24,8070,101,67,1,85,65
2020-02-25,10892,89,70,2,90,64
2020-02-26,10398,100,63,1,90,67
2020-02-27,7620,84,68,5,89,69
2020-02-28,10163,101,67,4,88,67
2020-02-29,11133,104,66,4,91,67
2020-03-01,10686,99,62,4,90,68
2020-03-02,6119,94,77,5,87,69
2020-03-03,8567,123,101,11,91,68
2020-03-04,9820,154,67,2,90,72
2020-03-05,9137,114,76,4,92,71
2020-03-06,10119,129,57,2,92,72
2020-03-07,8626,85,66,4,90,72
2020-03-08,8472,106,66,3,92,72
2020-03-09,9521,97,65,3,91,71
2020-03-10,9811,100,71,3,93,72
2020-03-11,10168,109,65,3,92,72
2020-03-12,10470,103,61,3,94,72
2020-03-13,11502,82,65,4,93,70
2020-03-14,10582,89,59,3,94,69
2020-03-15,11919,73,62,3,94,69
2020-03-16,12159,86,53,2,94,67
2020-03-17,12750,66,54,2,93,68
2020-03-18,12447,54,53,3,95,67
2020-03-19,9788,65,64,3,95,70
2020-03-20,6248,97,64,2,93,73
2020-03-21,9956,105,59,2,96,72
2020-03-22,10677,92,57,1,94,74
2020-03-23,8074,84,63,2,94,72
2020-03-24,11699,106,66,1,94,69
2020-03-25,10917,115,43,0,91,70
2020-03-26,11538,61,46,0,93,69
2020-03-27,12465,69,43,0,93,67
2020-03-28,12149,68,42,0,95,67
2020-03-29,12571,60,42,0,96,67
2020-03-30,12583,73,46,0,97,71
2020-03-31,12368,79,44,0,96,67
2020-04-01,12637,72,44,0,97,70
2020-04-02,9965,70,54,0,96,72
2020-04-03,11240,95,59,0,96,73
2020-04-04,12019,101,50,0,97,72
2020-04-05,7004,102,63,0,98,72
2020-04-06,10365,92,60,0,96,72
2020-04-07,8981,69,7,0,86,70
2020-04-08,10352,68,19,1,93,70
2020-04-09,8606,93,23,0,92,66
2020-04-10,7826,107,29,0,87,65
2020-04-11,11747,68,35,0,90,70
2020-04-12,11969,73,40,0,93,69
2020-04-13,10505,79,49,1,95,69
2020-04-14,10480,84,55,1,94,67
2020-04-15,12099,101,53,1,94,69
2020-04-16,11575,103,48,0,95,73
2020-04-17,10410,85,56,0,95,74
2020-04-18,10599,93,53,0,94,75
2020-04-19,11414,84,46,0,94,75
2020-04-20,8945,71,34,0,94,73
2020-04-21,11589,54,33,0,94,72
2020-04-22,11020,46,39,0,96,76
2020-04-23,10061,61,36,0,97,74
2020-04-24,7738,58,32,0,87,69
2020-04-25,6825,58,41,0,90,73
2020-04-26,8886,58,33,0,89,73
2020-04-27,7773,52,38,0,90,72
2020-04-28,9694,55,45,0,93,73
2020-04-29,4369,65,21,0,78,67
2020-04-30,10664,36,41,1,91,70
2020-05-01,8953,62,50,0,92,73
2020-05-02,8801,71,34,0,90,75
