Date Time Energy
2020-02-07 00:00:00 9145
2020-02-08 00:00:00 10430
2020-02-09 00:00:00 9704
2020-02-10 00:00:00 10699
2020-02-11 00:00:00 11774
2020-02-12 00:00:00 9774
2020-02-13 00:00:00 11828
2020-02-14 00:00:00 10718
2020-02-15 00:00:00 11099
2020-02-16 00:00:00 11555
2020-02-17 00:00:00 11809
2020-02-18 00:00:00 11707
2020-02-19 00:00:00 10544
2020-02-20 00:00:00 11693
2020-02-21 00:00:00 11722
2020-02-22 00:00:00 11210
2020-02-23 00:00:00 8342
2020-02-24 00:00:00 8070
2020-02-25 00:00:00 10892
2020-02-26 00:00:00 10398
2020-02-27 00:00:00 7620
2020-02-28 00:00:00 10163
2020-02-29 00:00:00 11133
2020-03-01 00:00:00 10686
2020-03-02 00:00:00 6119
2020-03-03 00:00:00 8567
2020-03-04 00:00:00 9820
2020-03-05 00:00:00 9137
2020-03-06 00:00:00 10119
2020-03-07 00:00:00 8626
2020-03-08 00:00:00 8472
2020-03-09 00:00:00 9521
2020-03-10 00:00:00 9811
2020-03-11 00:00:00 10168
2020-03-12 00:00:00 10470
2020-03-13 00:00:00 11502
2020-03-14 00:00:00 10582
2020-03-15 00:00:00 11919
2020-03-16 00:00:00 12159
2020-03-17 00:00:00 12750
2020-03-18 00:00:00 12447
2020-03-19 00:00:00 9788
2020-03-20 00:00:00 6248
2020-03-21 00:00:00 9956
2020-03-22 00:00:00 10677
2020-03-23 00:00:00 8074
2020-03-24 00:00:00 11699
2020-03-25 00:00:00 10917
2020-03-26 00:00:00 11538
2020-03-27 00:00:00 12465
2020-03-28 00:00:00 12149
2020-03-29 00:00:00 12571
2020-03-30 00:00:00 12583
2020-03-31 00:00:00 12368
2020-04-01 00:00:00 12637
2020-04-02 00:00:00 9965
2020-04-03 00:00:00 11240
2020-04-04 00:00:00 12019
2020-04-05 00:00:00 7004
2020-04-06 00:00:00 10365
2020-04-07 00:00:00 8981
2020-04-08 00:00:00 10352
2020-04-09 00:00:00 8606
2020-04-10 00:00:00 7826
2020-04-11 00:00:00 11747
2020-04-12 00:00:00 11969
2020-04-13 00:00:00 10505
2020-04-14 00:00:00 10480
2020-04-15 00:00:00 12099
2020-04-16 00:00:00 11575
2020-04-17 00:00:00 10410
2020-04-18 00:00:00 10599
2020-04-19 00:00:00 11414
2020-04-20 00:00:00 8945
2020-04-21 00:00:00 11589
2020-04-22 00:00:00 11020
2020-04-23 00:00:00 10061
2020-04-24 00:00:00 7738
2020-04-25 00:00:00 6825
2020-04-26 00:00:00 8886
2020-04-27 00:00:00 7773
2020-04-28 00:00:00 9694
2020-04-29 00:00:00 4369
2020-04-30 00:00:00 10664
2020-05-01 00:00:00 8953
2020-05-02 00:00:00 8801
