date,pm25,pm10,no2,maxt,mint
2020-02-01,126,74,14,87,66
2020-02-02,130,57,11,85,63
2020-02-03,90,58,16,88,63
2020-02-04,85,56,14,87,61
2020-02-05,72,57,9,87,65
2020-02-06,81,66,12,88,64
2020-02-07,104,70,10,87,64
2020-02-08,124,65,11,89,66
2020-02-09,110,60,9,89,65
2020-02-10,100,58,12,86,66
2020-02-11,88,57,15,87,62
2020-02-12,86,57,16,86,63
2020-02-13,85,60,17,90,65
2020-02-14,91,71,16,90,64
2020-02-15,109,62,21,92,64
2020-02-16,65,68,28,91,64
2020-02-17,97,68,21,90,63
2020-02-18,104,70,27,91,63
2020-02-19,109,69,13,89,64
2020-02-20,121,72,2,91,62
2020-02-21,115,56,1,90,62
2020-02-22,78,64,1,89,65
2020-02-23,92,61,1,88,64
2020-02-24,101,67,1,85,65
2020-02-25,89,70,2,90,64
2020-02-26,100,63,1,90,67
2020-02-27,84,68,5,89,69
2020-02-28,101,67,4,88,67
2020-02-29,104,66,4,91,67
2020-03-01,99,62,4,90,68
2020-03-02,94,77,5,87,69
2020-03-03,123,101,11,91,68
2020-03-04,154,67,2,90,72
2020-03-05,114,76,4,92,71
2020-03-06,129,57,2,92,72
2020-03-07,85,66,4,90,72
2020-03-08,106,66,3,92,72
2020-03-09,97,65,3,91,71
2020-03-10,100,71,3,93,72
2020-03-11,109,65,3,92,72
2020-03-12,103,61,3,94,72
2020-03-13,82,65,4,93,70
2020-03-14,89,59,3,94,69
2020-03-15,73,62,3,94,69
2020-03-16,86,53,2,94,67
2020-03-17,66,54,2,93,68
2020-03-18,54,53,3,95,67
2020-03-19,65,64,3,95,70
2020-03-20,97,64,2,93,73
2020-03-21,105,59,2,96,72
2020-03-22,92,57,1,94,74
2020-03-23,84,63,2,94,72
2020-03-24,106,66,1,94,69
2020-03-25,115,43,0,91,70
2020-03-26,61,46,0,93,69
2020-03-27,69,43,0,93,67
2020-03-28,68,42,0,95,67
2020-03-29,60,42,0,96,67
2020-03-30,73,46,0,97,71
2020-03-31,79,44,0,96,67
2020-04-01,72,44,0,97,70
2020-04-02,70,54,0,96,72
2020-04-03,95,59,0,96,73
2020-04-04,101,50,0,97,72
2020-04-05,102,63,0,98,72
2020-04-06,92,60,0,96,72
2020-04-07,69,7,0,86,70
2020-04-08,68,19,1,93,70
2020-04-09,93,23,0,92,66
2020-04-10,107,29,0,87,65
2020-04-11,68,35,0,90,70
2020-04-12,73,40,0,93,69
2020-04-13,79,49,1,95,69
2020-04-14,84,55,1,94,67
2020-04-15,101,53,1,94,69
2020-04-16,103,48,0,95,73
2020-04-17,85,56,0,95,74
2020-04-18,93,53,0,94,75
2020-04-19,84,46,0,94,75
2020-04-20,71,34,0,94,73
2020-04-21,54,33,0,94,72
2020-04-22,46,39,0,96,76
2020-04-23,61,36,0,97,74
2020-04-24,58,32,0,87,69
2020-04-25,58,41,0,90,73
2020-04-26,58,33,0,89,73
2020-04-27,52,38,0,90,72
2020-04-28,55,45,0,93,73
2020-04-29,65,21,0,78,67
2020-04-30,36,41,1,91,70
2020-05-01,62,50,0,92,73
2020-05-02,71,34,0,90,75
